#;Cantitatea Cantarita [Cc];Ora;123;Crema Tartinabila- VERIFICARE;Galeata Plastic- 6 Kg;6Kg;0.190Kg;2018-05-09
1;6260;21:20:01
2;6260;21:23:29
3;6260;21:32:50
4;6250;21:20:01
5;6260;21:23:29
6;6250;21:32:50
7;6250;21:20:01
8;6250;21:23:29
9;6240;21:32:50
10;6250;21:20:01
11;6260;21:23:29
12;6260;21:32:50
13;6250;21:20:01
14;6240;21:23:29
15;6260;21:32:50
16;6250;21:20:01
17;6250;21:23:29
18;6240;21:32:50
19;6250;21:20:01
20;6240;21:23:29
21;6250;21:32:50
22;6250;21:20:01
23;6260;21:23:29
24;6260;21:32:50
25;6240;21:20:01
26;6260;21:23:29
27;6260;21:32:50
28;6260;21:20:01
29;6260;21:23:29
30;6250;21:23:29
